ID	02078-BA_metaphlan	07004-B_metaphlan	07005-B_metaphlan	08012-B_metaphlan	08016-B_metaphlan	09024-B_metaphlan	09069-B_metaphlan	10029-BA_metaphlan	10030-B_metaphlan	12042-B_metaphlan
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.09545	0.70321
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_aerogenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69521
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_aerogenes|t__Enterobacter_aerogenes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69521
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.09545	0.008
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__Enterobacter_cloacae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.09545	0.008
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	28.65699	29.68354	0.0	0.00991	97.54707	0.01864	0.0	80.25915	0.35982	87.35194
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	17.53307	17.4672	0.0	0.0	65.28291	0.00966	0.0	43.60872	0.26505	59.80481
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	17.53307	17.4672	0.0	0.0	65.28291	0.00966	0.0	43.60872	0.26505	59.80481
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	11.12392	12.21634	0.0	0.00991	32.26416	0.00899	0.0	36.65042	0.09476	27.54713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0.0	18.88761	22.80912	0.01494	0.0	13.55381	91.16967	0.0	0.11766	0.50954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	0.0	14.01328	18.60859	0.0	0.0	7.44233	0.0	0.0	0.04553	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca|t__Klebsiella_oxytoca_unclassified	0.0	14.01328	18.60859	0.0	0.0	7.44233	0.0	0.0	0.04553	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0.0	0.0	0.0	0.01445	0.0	0.0	91.16967	0.0	0.04964	0.50954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified	0.0	0.0	0.0	0.01445	0.0	0.0	91.16967	0.0	0.04964	0.50954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_unclassified	0.0	4.87433	4.20053	0.00049	0.0	6.11149	0.0	0.0	0.02249	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus	0.0	0.0	0.0	0.0	0.0	16.92943	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_mirabilis	0.0	0.0	0.0	0.0	0.0	14.56071	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_mirabilis|t__Proteus_mirabilis_unclassified	0.0	0.0	0.0	0.0	0.0	14.56071	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_unclassified	0.0	0.0	0.0	0.0	0.0	2.36871	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0	0.0	0.0	0.36237	0.0	0.0	0.0	0.0	17.97178	0.10435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0	0.0	0.0	0.36237	0.0	0.0	0.0	0.0	17.97178	0.10435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0.0	0.0	0.0	0.36237	0.0	0.0	0.0	0.0	17.97178	0.10435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.0	0.0	0.0	0.36237	0.0	0.0	0.0	0.0	17.97178	0.10435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	0.0	0.0	0.0	0.36237	0.0	0.0	0.0	0.0	17.97178	0.10435
k__Eukaryota	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.02066	0.00488
k__Eukaryota|p__Ascomycota	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.02066	0.00488
k__Eukaryota|p__Ascomycota|c__Sordariomycetes	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.02066	0.00488
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.01376	0.00401
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.01376	0.00401
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.01376	0.00401
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_unclassified	0.0	0.0	0.0	0.0	0.0	0.00344	0.0	0.0	0.01376	0.00401
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.00088
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.00088
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Chaetomiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.00088
k__Viruses	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	64.17306	0.0	23.68306	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Enterococcus_phage_EFAP_1	64.17306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Enterococcus_phage_EFAP_1|t__PRJNA36375	64.17306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P100D	0.0	0.0	2.59946	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P100D|t__PRJNA177534	0.0	0.0	2.59946	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P101A	0.0	0.0	18.4051	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P101A|t__PRJNA177531	0.0	0.0	18.4051	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P1_1	0.0	0.0	0.0	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_P1_1|t__PRJNA177537	0.0	0.0	0.0	0.0	0.12457	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_PHL112N00	0.0	0.0	2.6785	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Propionibacterium_phage_PHL112N00|t__PRJNA219110	0.0	0.0	2.6785	0.0	0.0	0.0	0.0	0.0	0.0	0.0
